Företagsnamn,Geografi_original,Landskap_original,Revenue_SEK,Employees,Email,Phone,County,Municipality,City,ZipCode,ContactPerson,ContactRole
Gävle Kylarservice AB,,,1668,1,,,Gävleborg,Gävle,Gävle,805 96,Jan Olof Folke Jansson,Ledamot
Göinge Kylteknik,Hässleholm,Skåne,4396,2,,,Skåne,Hässleholm,Hässleholm,281 35,Pierre Göran Mikael Andersson,Ledamot
Göteborgs El & Rörjour AB,,,20637,8,,031500120,Västra Götaland,Göteborg,Göteborg,417 05,Glenn Ingemar Olsson,Ledamot
Göthes Sanitet AB,,,11624,8,,,Stockholm,Norrtälje,Norrtälje,761 73,Carl Peter Mårtensson,Verkställande direktör
H Olofssons Plåt i Höör AB,,,37378,19,,041320280,Skåne,Höör,Höör,243 41,Leif Jörgen Johannesson,Verkställande direktör
Hagmans Kyl & Energiteknik AB,Göteborg,Västra Götaland,112015,27,,031214500,Västra Götaland,Göteborg,Hisings Backa,422 46,Jonas Patrik Hagman,Ledamot
Hagmans Kyl & Energiteknik AB,,,112015,27,,031214500,Västra Götaland,Göteborg,Hisings Backa,422 46,Jonas Patrik Hagman,Ledamot
Hallabro Elektriska AB,,,132650,85,,,Kronoberg,Tingsryd,Tingsryd,362 31,Emma Josefin Elheim Karlsson,Verkställande direktör
Hammarstedts Kyl & Inneklimat AB,,,,,,,,,,,,
Hantverksdata Sverige AB,,,0,0,,,Stockholm,Stockholm,,,Joel Allen Russ,Ordförande
Harry P Rör & Värme AB,,,22095,8,,065113838,Gävleborg,Ljusdal,Ljusdal,827 32,Pär Tomas Harrysson,Ledamot
Hedlert i Östersund AB,,,7415,6,hedlert@telia.com,063 571660,Jämtland,Östersund,Östersund,831 48,Pierre Olov Åberg,Verkställande direktör
Hisingens Kylservice AB,,,7735,4,info@hkskyl.se,0520-44 01 68,Västra Götaland,Trollhättan,Sjuntorp,461 77,Kjell Jimmie Hansson,Ledamot
Hittarps Energi AB,,,2390,1,,,Skåne,Helsingborg,Helsingborg,254 82,Carolina Alejandra Lapadatovic,Ledamot
Holje Kylservice AB,,,3160,1,,,Blekinge,Olofström,Olofström,293 37,Bernt Anders Holmström,Ledamot
Holmen Paper AB Hallsta Pappersbruk,,,,,,,,,,,,
Holmgren Kyl och Maskin AB,,,1180,0,,0709960067,Stockholm,Stockholm,Spånga,163 44,Karl Ivan Fredrik Holmgren,Ledamot
Hot n Cold Kylteknik AB,,,,,,,,,,,,
Hova Rörledningsaffär AB,,,114525,47,,,Västra Götaland,Gullspång,Hova,548 32,Anna Ingeborg Danielsson,Verkställande direktör
Hovby Rör AB,,,50600,28,,,Västra Götaland,Lidköping,Lidköping,531 92,Elsa Marianne Kristoffersson,Verkställande direktör
HP Klimatservice AB,,,10436,7,,,Stockholm,Stockholm,Älvsjö,125 34,Johan Carl Wilhelm Carlsson,Extern verkställande direktör
HP Kyla & Värme AB,,,,,,,,,,,,
HSR Kalmar AB,,,2914,2,,,Kalmar,Kalmar,Kalmar,394 70,Stefan Per-Olof Runesson,Ordförande
HT Kyl & Värmepumpsservice AB,,,3931,2,,,Dalarna,Avesta,Avesta,774 35,Anders Olof Hägg,Ordförande
Huddinge Maskinservice AB,,,21590,9,,08 - 711 66 06,Stockholm,Huddinge,Huddinge,141 48,Johan Tony Söderberg,Ledamot
Hälsinge Rör AB,,,28877,12,,0278636000,Gävleborg,Bollnäs,Bollnäs,821 41,Johnny Mikael Alexander Jörnelind,Ledamot
Hälsö Kyl & Värme AB,,,5749,1,,,Västra Götaland,Öckerö,Hälsö,,Lars Peter Gjertz,Ledamot
Härryda Kylservice AB,,,173,1,,031917801,Västra Götaland,Härryda,Landvetter,438 36,Göran Ingvar Johansson,Ledamot
Högsander VVS & Energi AB,,,8989,4,,0480363610,Kalmar,Kalmar,Kalmar,393 65,Lowe Mattias Högsander,Ledamot
Indoor Energy Living Sweden AB,,,20241,7,,086856400,Stockholm,Stockholm,Hägersten,126 49,John David Grängfelt,Verkställande direktör
Indoor Energy Services Sweden AB,,,398465,219,,087645000,Stockholm,Solna,Solna,169 67,Åsa Kristina Wikensten,Verkställande direktör
Industrikyla i Skara AB,,,35906,19,,,Västra Götaland,Skara,Skara,532 40,Joacim Erik Hammarstrand,Verkställande direktör
Inneklimat Jönköping AB,,,56727,14,,0363300995,Jönköping,Värnamo,Värnamo,331 32,Viktor Gustav Emil Gavelli,Verkställande direktör
Inneklimat service i Skandinavien AB,,,26928,7,,,Stockholm,Ekerö,Skå,179 75,Peter Bengt Ferm Langmann,Verkställande direktör
Installationsgruppen i Malung AB,,,68026,35,,,Dalarna,Malung-Sälen,Malung,782 33,Per Lisra Jonas Lundberg,Ledamot
Installigent AB,,,3198,1,,,Jönköping,Jönköping,Jönköping,553 02,Jonas Sebastian Pirttilä,Ledamot
INTEC Stockholm AB,,,,10-19,,,Stockholm,Stockholm,Johanneshov,121 63,Carl Johan Lyxell,Extern verkställande direktör
IOS Luftvärmecenter AB,,,31098,13,,058645660,Örebro,Karlskoga,Karlskoga,691 47,Linda Caroline Ingesdotter Olsson,Ordförande
Isoheat AB,,,317,1,,,Skåne,Staffanstorp,Hjärup,245 63,Anthony Nikola Zivkovic,Ledamot
IV Produkt AB,,,1770395,307,,0470758800,Kronoberg,Växjö,Växjö,352 46,Mattias Alf Magnus Sjöberg,Verkställande direktör
Ivar Hedlunds Rörledningsfirma AB,,,19505,11,info@hedlundsror.se,026273075,Gävleborg,Sandviken,Sandviken,811 32,Arne Kjell Ivar Hedlund,Ledamot
J. Mattssons VVS AB,,,43851,18,,045417712,Blekinge,Karlshamn,Karlshamn,374 34,John Percy Molin,Ordförande
JAB Rör,,,11546,6,,087157560,Stockholm,Nacka,Saltsjö-Boo,132 38,Fredrik Nyström,Ledamot
Jacob Kyl & Värmepump Teknik AB,,,2920,2,,0738001279,Dalarna,Avesta,Krylbo,775 54,Soumer Jacoub,Ledamot
Janne Carlson Rör AB,,,24873,9,,054547180,Värmland,Karlstad,Vålberg,664 52,Hans Erik Karlsson,Verkställande direktör
Jaxes klimatservice AB,,,,0,,,Stockholm,Salem,Rönninge,144 44,Johan Anders Axelsson,Ledamot
JCD Rör & Kylservice AB,,,10131,5,,0703838608,Stockholm,Stockholm,Hägersten,129 46,Jimmy Peter Danielsson,Ordförande
JD Automation AB,,,7726,2,,,Västernorrland,Sundsvall,Kvissleby,862 32,Jens Nils Ove Oskarsson,Ledamot
Jerry Anderssons Rör AB,,,2318,2,,,Skåne,Simrishamn,Hammenhög,276 50,Bengt Uno Jerry Andersson,Ledamot
JL Drift- och fastighetsservice AB,,,1923,2,,,Stockholm,Södertälje,Järna,153 95,Jimmy Juhani Lakanen,Verkställande direktör
JL Värme & Kyla AB,,,4408,2,,,Jämtland,Ragunda,Stugun,844 96,Erik Jesper Lindström,Ledamot
Johan Persson Rör & Värme AB,,,,,,,,,,,,
Johansson o. Gunverth VVS- och El AB,,,43405,35,,030144255,Västra Götaland,Härryda,Rävlanda,438 52,Andreas Aristiadis,Ordförande
Johnson Controls Systems & Service AB,,,470820,66,,011214500,Östergötland,Norrköping,Norrköping,602 28,John Gunnar Fredrik Norrbom,Ledamot
Jonas Nordmark AB,,,2483,1,,,Halland,Kungsbacka,Vallda,434 79,Jonas Lennart Nordmark,Ledamot
Jones Elservice i Idre AB,,,16617,14,,,Dalarna,Älvdalen,Idre,797 71,Bengt Arne Halvarsson,Ledamot
JS Energi AB,,,85791,39,,,Skåne,Helsingborg,Helsingborg,254 68,Göran Peter Andreas Borgman,Verkställande direktör
JS Service AB,,,10511,8,,,Skåne,Svalöv,Svalöv,268 32,Conny Arne Daniel Bernstein,Ordförande
JS Värme- & Kylinstallation AB,,,1705,1-4,,,Dalarna,Hedemora,Hedemora,776 93,Jan Helge Fredrik Söderström,Verkställande direktör
June Kylteknik AB,Jönköping,Småland,7696,4,,036185100,Jönköping,Jönköping,Jönköping,553 02,Peter Thomas Adetun,Ordförande
June Kylteknik AB,,,7696,4,,036185100,Jönköping,Jönköping,Jönköping,553 02,Peter Thomas Adetun,Ordförande
JZ service AB,,,10741,2,,,Halland,Kungsbacka,Kungsbacka,434 39,Ralf Jörgen Zackrisson,Verkställande direktör
Jäders Värme & Sanitet AB,,,57558,36,,091054890,Västerbotten,Skellefteå,Skellefteå,931 60,Hans Arvid Ola Stralström,Verkställande direktör
Jämjö Rör & Energi AB,,,,,,,,,,,,
Jämtlands Energi & Maskinteknik AB,,,5735,4,,064038010,Jämtland,Krokom,Offerdal,835 98,Nils Martin Andersson,Ledamot
Järvsö Värme & Sanitet AB,,,20982,11,,0765345002,Gävleborg,Ljusdal,Järvsö,827 51,Per Christian Lindqvist,Ordförande
"Jönnbua AB, Härjedalens kylservice",,,,,,,,,,,,
K & E Rör AB,,,31484,17,,022114070,Västmanland,Köping,Köping,731 50,Karl Johan Karlsson,Ordförande
K-B Rör AB,,,1549,0,,,Västra Götaland,Göteborg,Göteborg,412 63,Anna Karolina Andersson,Verkställande direktör
K2 Energi AB,,,8707,2,,0709998943,Kronoberg,Lessebo,Hovmantorp,365 42,Magnus Nils-Gustaf Timerdal,Ledamot
Kallernäs Värme- & Kylteknik AB,,,3333,1,,,Örebro,Lindesberg,Storå,711 96,Markus Pierre Persson,Ledamot
Kalmar Kylmontage AB,,,13479,3,,,Kalmar,Kalmar,Kalmar,393 63,Mattias Karl Olle Petersson,Ledamot
Kalmar VVS- & Elmontage AB,,,100654,49,info@kalmarvvs.se,0485-31670,Kalmar,Mörbylånga,Färjestaden,386 32,Stefan Fredrik Strandman,Extern verkställande direktör
Karlshamns Kylservice,Karlshamn,Blekinge,7575,4,,,Blekinge,Karlshamn,Karlshamn,374 32,Jim Ronny Donald Petersson,Ledamot
Karlstad Maskin och Truckservice AB,,,27025,13,,,Värmland,Karlstad,Karlstad,653 50,Ingemar Thobias Larsson,Ordförande
Katrineholms Kylservice AB,,,12305,6,,015010950,Södermanland,Katrineholm,Katrineholm,641 49,Kurt Stefan Glimring,Ordförande
Keyvent Öst AB,,,104376,48,,,Kalmar,Mönsterås,Ålem,384 92,Bo Claes Örman,Verkställande direktör
KIVIK,,,918999,186,,,Skåne,Simrishamn,Kivik,277 35,Jan Thomas Patrik Jensen,Extern verkställande direktör
Kiwa Certification AB,,,125591,68,,018170000,Stockholm,Solna,Solna,169 67,Alf Hans Magnus Lindahl,Verkställande direktör
KiWi i Väst Energi AB,,,25893,7,,,Västra Götaland,Göteborg,Göteborg,412 50,Terese Maria Tapper,Ordförande
KJ Kylteknik & Värmepumpar,Bromölla,Blekinge,,,,,Skåne,Bromölla,,,,
KJ Kylteknik & Värmepumpar,,,,,,,Skåne,Bromölla,,,,
Kjelle Kyla AB,,,1635,1,,,Västerbotten,Skellefteå,Skellefteå,931 92,Ann Eng-Lis Sofie Lindberg Aho,Ledamot
Kjellners Rör AB,,,64534,39,,051210198,Västra Götaland,Vara,Vara,534 31,Karl Emil David Kjellner,Verkställande direktör
KJS i Skara AB,,,26681,8,,0511347490,Västra Götaland,Skara,Skara,532 40,Karl Jonas Svärdh,Ledamot
KLAVRESTRÖM,,,6406,3,,,Kronoberg,Uppvidinge,Klavreström,364 45,Jens Peter Rune Kroon,Ledamot
Klima-Therm AB,,,194213,32,,0313366530,Västra Götaland,Partille,Partille,433 30,Magdalena Aleksandra Rozmiarek,Verkställande direktör
Klimat och VVS-teknik i Värmland AB,,,140635,72,,,Värmland,Hammarö,Hammarö,663 41,Ulf Anders Torehammar,Verkställande direktör
KLIMAT team,Vellinge,Skåne,0,0,,,Skåne,Vellinge,,,Anders Herbert Lindgren,Ordförande
Klimatassistans i Stockholm AB,,,1745,1,,,Stockholm,Österåker,Åkersberga,184 91,John Gustaf Lidbjörk,Ledamot
Klimatgruppen i GBG AB,Göteborg,Västra Götaland,14103,5,,,Västra Götaland,Göteborg,Askim,436 33,Anders Stefan Johansson,Verkställande direktör
Klimatgruppen i Gbg AB,,,14103,5,,,Västra Götaland,Göteborg,Askim,436 33,Anders Stefan Johansson,Verkställande direktör
KLIMATICON I VÄST AB,,,20640,5,,,Västra Götaland,Partille,Sävedalen,433 70,Carl Göran Nylén,Ordförande
Klimatkonsult Peter Modin AB,,,31234,15,,,Stockholm,Stockholm,Spånga,163 45,Bernt Peter Modin,Ledamot
Klimatkontroll Syd AB,,,17400,10,,0406711250,Skåne,Vellinge,Vellinge,235 39,Peter Axel Mikael Hornbeck,Verkställande direktör
Klimatkyl i Malmö AB,,,158538,46,,040394800,Skåne,Burlöv,Arlöv,232 37,Karl Emil Börje Silverberg,Verkställande direktör
Klimatmontage i Dalarna,,,1519,1,,,Dalarna,Gagnef,Dala-Floda,786 95,Mats Anders Lindquist,Ledamot
Klimatmontage i Stockholm AB,,,5252,1,,,Stockholm,Norrtälje,Norrtälje,761 91,Robert Anders Stefan Jönson,Ledamot
Klimatstyrkan i Stockholm AB,,,2300,2,,,Stockholm,Stockholm,Hässelby,165 72,Kjell Moddy Carl Lund Moberg,Verkställande direktör
Klimatteknik Stockholm AB,,,1558,1,,,Stockholm,Tyresö,Tyresö,135 54,Gunnar Mattias Karlsson,Ledamot
Klimatteknik Sydost AB,Karlskrona,Blekinge,16435,6,,,Blekinge,Karlskrona,Karlskrona,371 92,Ernst Robin Gladh,Verkställande direktör
Klimatteknik Sydost AB,,,16435,6,,,Blekinge,Karlskrona,Karlskrona,371 92,Ernst Robin Gladh,Verkställande direktör
Klimio AB,,,34756,10,,,Stockholm,Stockholm,,,Johan Olof Lind,Verkställande direktör
Kolmårdens El & Kylservice,,,7390,2,,,Östergötland,Norrköping,Kolmården,618 34,Daniel Naman Abada,Ledamot
Kraftringen Energi AB,,,1922000,291,,0101227000,Skåne,Lund,Lund,224 57,Sezgin Kadir,Extern verkställande direktör
Kronbergs Kylteknik-kylinstallation,Växjö,Småland,,,,,,,,,,
Kronobergs Kylteknik AB,,,1327,1,,,Kronoberg,Växjö,Växjö,352 45,Hamid Pooyan,Ledamot
KVT AB,Vetlanda,Småland,13996,1,,,Stockholm,Norrtälje,Rimbo,762 92,Lars Georg Kasper Hellström,Verkställande direktör
KVT Stockholm AB,,,6845,2,,08260410,Stockholm,Järfälla,Järfälla,175 62,Edvard Lestaric,Ledamot
Kyl & Ammoniakteknik Calmarsund AB,,,20673,6,,,Kalmar,Kalmar,Trekanten,388 98,Per Johan Anders Höglund,Ledamot
Kyl & Industriteknik i Väst AB,,,16373,4,,,Västra Götaland,Mölndal,Mölndal,431 53,William Franz Giorgi,Ordförande
Kyl & Maskin i Visby AB,,,29803,20,info@kyl-maskin.se,0498 248700,Gotland,Gotland,Visby,621 53,Gustav Håkan Julius Berg,Verkställande direktör
Kyl & Maskinservice i Växjö,Växjö,Småland,11629,7,,,Kronoberg,Växjö,Växjö,352 51,Anders Eric Leif Andersson,Verkställande direktör
Kyl & Tvättspecialisten i Enköping AB,,,8488,2,,,Uppsala,Enköping,Enköping,745 39,Jörgen Skirgård,Ledamot
Kyl & Värmepumpcenter KVPC AB,,,12705,4,,052214040,Västra Götaland,Uddevalla,Uddevalla,451 55,Karl Martin Holger Melin,Ordförande
Kyl & Värmepumpsbolaget i Sverige AB,,,22864,11,,0705573931,Uppsala,Uppsala,Uppsala,754 54,Magnus Jan Emanuel Berlin,Ledamot
Kyl & Värmepumpservice i Stor- Stockholm AB,,,21051,7,info@varmepumpservice.se,08 58010030,Stockholm,Järfälla,Järfälla,175 61,Bo Kenneth Bjällskog,Verkställande direktör
Kyl & Värmespecialisten AB,Anneberg,Småland,403,0,,,Jönköping,Nässjö,Anneberg,571 71,Adam Abdulnasir Hilal,Verkställande direktör
Kyl & Värmeteknik i Syd AB,,,5002,0,,,Halland,Laholm,Laholm,312 92,Jonas Ambjörn Ingvarsson,Ledamot
Kyl & Värmeteknik i Vetlanda AB,,,7990,3,,0767843600,Jönköping,Vetlanda,Vetlanda,574 35,Sven-Åke Borgström,Ordförande
Kyl & Värmeteknik Service i Stockholm AB,,,8149,4,,08181824,Stockholm,Stockholm,Hägersten,129 46,Jan Ulf Petersson,Ordförande
Kyl och Maskinservice i Växjö AB,,,11629,7,,,Kronoberg,Växjö,Växjö,352 51,Anders Eric Leif Andersson,Verkställande direktör
Kyl- & Värmepumpservice Ängelholm AB,,,30175,10,,0768029070,Skåne,Ängelholm,Ängelholm,262 95,Sven Rune Lennart Starnert,Ledamot
Kyl-&Värmepunksservice,Ängelholm,Skåne,,,,,,,,,,
Kyl-Bergman Lennart AB,,,22462,10,,049021551,Kalmar,Västervik,Västervik,593 61,Gunnar Adam Larsson Lockner,Verkställande direktör
Kyl-Effekt AB,Göteborg,Västra Götaland,51218,25,info@kyleffekt.se,031123044,Västra Götaland,Göteborg,Göteborg,417 07,Jonas Nero,Verkställande direktör
Kyl-Effekt AB,,,51218,25,info@kyleffekt.se,031123044,Västra Götaland,Göteborg,Göteborg,417 07,Jonas Nero,Verkställande direktör
"Kyl, El, Hushållsservice AB, KEHAB",,,,,,,,,,,,
Kyla JP AB,,,3101,2,,0706487894,Stockholm,Solna,Solna,171 63,Georgios Charitonidis,Ordförande
KylAcc,,,,,,,Skåne,Trelleborg,,,,
Kylanläggningar i Norrköping AB,,,39108,17,,,Östergötland,Norrköping,Norrköping,602 23,Mats Johan Henrik Hint,Verkställande direktör
Kylbolaget i Väst AB,Uddevalla,Bohuslän,,,,,,,,,,
Kylbolaget Modin & Lundin AB,,,4076,2,,,Stockholm,Stockholm,Bandhagen,124 67,Sune Ingvar Modin,Ledamot
Kylbolaget Väst AB,,,3037,2,,052217700,Västra Götaland,Uddevalla,Uddevalla,451 75,Niklas Mattias Guldner,Verkställande direktör
KylClimat Tech KCT AB,,,21751,8,,058657040,Örebro,Karlskoga,Karlskoga,691 35,Lise-Lotte Helena Eriksson,Verkställande direktör
Kylfas Molins Kylservice & Värmepunpar,Arkelstorp,Skåne,,,,,,,,,,
Kylgruppen AB,,,199418,47,info@kylgruppen.se,08-4452210,Stockholm,Stockholm,HÄGERSTEN,12630,Anders Linders,Verkställande direktör
Kylgruppen Hägersten,Stockholm,,199418,47,info@kylgruppen.se,08-4452210,Stockholm,Stockholm,HÄGERSTEN,12630,Anders Linders,Verkställande direktör
Kylkompetens P&S AB,,,5030,4,,,Stockholm,Sollentuna,Sollentuna,191 36,Piotr Kapela,Verkställande direktör
Kylkontroll Göteborg AB,Göteborg,Västra Götaland,72064,28,info@kylkontroll.se,031-685720,Västra Götaland,Göteborg,Västra Frölunda,421 31,Hans Christer Foleby,Verkställande direktör
KylKontroll Göteborg AB,,,72064,28,info@kylkontroll.se,031-685720,Västra Götaland,Göteborg,Västra Frölunda,421 31,Hans Christer Foleby,Verkställande direktör
Kylkraft,Helsingborg,Skåne,2797,1,,,Skåne,Åstorp,Hyllinge,265 74,Bozo Vincic,Ledamot
Kylmekano i Karlstad AB,,,41188,16,,054566940,Värmland,Karlstad,Karlstad,652 21,Lars Fredrik Johansson,Verkställande direktör
Kylmontage i Ramlösa,Helsingborg,Skåne,8415,4,,,Skåne,Helsingborg,Ramlösa,253 60,Inge Anders Patrik Svensson,Verkställande direktör
Kylmontage Redotem AB,,,92762,20,,,Stockholm,Stockholm,Skarpnäck,128 30,Dan Åke Wikström,Verkställande direktör
Kylmontören i Piteå AB,,,8045,3,,,Norrbotten,Piteå,Piteå,941 51,Frantz Daniel Hancke,Verkställande direktör
Kylmästarna i Stockholm AB,,,54170,16,,0841099990,Stockholm,Huddinge,Skogås,142 50,Jari Mikael Myllylä,Verkställande direktör
Kylpartner i Stockholm AB,,,23873,10,,,Stockholm,Stockholm,Skarpnäck,128 30,Lars Gunnar Håkan Eriksson,Ordförande
Kylprodukter i Kivik AB,,,53839,26,,,Skåne,Simrishamn,Kivik,277 32,Sven Ingvar Bladh,Ordförande
Kylservice Skaraborg AB,,,7664,2,,,Västra Götaland,Lidköping,Lidköping,531 96,Alf Martin Andreas Almqvist,Verkställande direktör
Kyltech i Växjö AB,Växjö,Småland,2061,1,,,Kronoberg,Lessebo,Lessebo,365 31,Dan Janne Gustaf Gustafsson,Ledamot
Kyltech i Växjö AB,,,2061,1,,,Kronoberg,Lessebo,Lessebo,365 31,Dan Janne Gustaf Gustafsson,Ledamot
Kylteknik Bohuslän AB,Stenungsund,Bohuslän,,,,,,,,,,
Kylteknik Norra Halland AB,,,7621,3,,0702988762,Halland,Varberg,Bua,432 63,Pär Mikael Svahn,Ordförande
Kyltjänst i Alingsås AB,,,8069,3,,,Västra Götaland,Alingsås,Alingsås,441 38,Joel Andreas Karlsson,Ledamot
Kyltjänst i Eskilstuna AB,,,63855,20,,016143972,Södermanland,Eskilstuna,Eskilstuna,632 21,Per Yngve Kentson,Verkställande direktör
Kyltjänst Lars Granström AB,,,,1-4,,,Västra Götaland,Vänersborg,Vänersborg,462 32,Lars Carl-Gustav Granström,Ledamot
Kylutbildningen i Göteborg AB,,,3451,2,,,Västra Götaland,Göteborg,Västra Frölunda,421 30,Lars Martin Lembratt,Ledamot
Kylverket AB,,,6617,3,,,Stockholm,Stockholm,Hägersten,126 39,Michael David Hölscher,Ordförande
L o U Anderssons Rör o Sanitet i Orås AB,,,9353,4,,,Skåne,Hörby,Hörby,242 97,Ulf Rickard Leifsson,Ordförande
LA TestTechnik AB,,,3997,1,,030214697,Västra Götaland,Lerum,,,Lars-Olof Andersson,Ledamot
Labkyl AB,,,158682,47,,087675300,Stockholm,Stockholm,Årsta,120 40,Erik Anders Randén,Extern verkställande direktör
LaboTest AB,,,64330,16,,08354360,Stockholm,Upplands Väsby,Upplands Väsby,194 61,Paul Gustave Frohn,Ledamot
Lagermans Kylservice AB,,,3054,1-4,,015243463,Södermanland,Strängnäs,Stallarholmen,645 62,Eric Michael Lagerman,Ledamot
Lassila & Tikanoja FM AB,,,,,,,,,,,,
Lennart Nilsson El & Kylservice AB,,,34206,15,info@elkyl.se,0176-26 30 40,,,,,Lennart Patrick Nilsson,Verkställande direktör
Lennarts VVS-Tjänst i Malmfälten AB,,,16718,10,,,Norrbotten,Gällivare,Gällivare,982 38,Bror Lennart Johansson,Ordförande
LG Electronics Nordic AB,,,2925046,59,,,Stockholm,Stockholm,Kista,164 74,Sanghee Park,Verkställande direktör
Limmareds Rör AB,,,26036,17,,,Västra Götaland,Tranemo,Limmared,514 42,Patrik Gunnar Carlsson,Verkställande direktör
Lindbloms Kyl AB,,,6445,5-9,,,Gävleborg,Ovanåker,Alfta,822 99,Billy Kenneth Lindblom,Ledamot
Lindesbergs VVS/EL AB,,,78699,32,niclas@calmarsundsvvs.se,0480 24000,Kalmar,Kalmar,KALMAR,392 39,Niclas Bengt Åke Moberg,Verkställande direktör
Linds & Källmans AB,,,47394,16,,014053046,Jönköping,Tranås,Tranås,573 38,Per Tomas Björnsson,Ordförande
LL:s Kylteknik i Kristianstad AB,,,112749,31,,044101315,Skåne,Kristianstad,Kristianstad,291 62,Lars Marcus Lindqvist,Verkställande direktör
LN-Kyla AB,,,17410,8,,037092253,Jönköping,Gnosjö,Gnosjö,335 91,Emelie Louise Nydén,Verkställande direktör
Loqvist Energi & Miljövärme AB,,,12627,8,,0709628224,Södermanland,Trosa,Trosa,619 33,Leif Patrik Loqvist,Ledamot
Ludvika kommun,,,,2000-2999,,024086000,Dalarna,Ludvika,Ludvika,771 31,,
Ludvika Kylservice Leif Pettersson AB,,,1955,2,,024015651,Dalarna,Ludvika,Ludvika,771 94,Leif Gunnar Pettersson,Ordförande
Luft Luft Kronoberg,,,,,,,Kronoberg,Växjö,,,,
Luftmiljöbutiken i Stockholm AB,,,11791,9,info@luftmiljobutiken.se,08-612 87 70,Stockholm,Stockholm,Stockholm,113 56,Felix Jan Christer Berglund,Ledamot
Lundgrens Rör i Vedum AB,,,38154,16,,051240536,Västra Götaland,Vara,Vedum,534 60,Dan Allan Tony Lundgren,Verkställande direktör
LV Energi AB,,,13982,6,,,Västra Götaland,Borås,Borås,504 64,Carl Ludvig Norton Åhblom,Ledamot
Lyckeby Kylservice,Lyckeby,Blekinge,,,,,Blekinge,Karlskrona,,,,
Lysviks Vatten & Värme AB,,,6726,2,,,Värmland,Sunne,Lysvik,686 97,Pär Olof Nilsson,Ledamot
MaccMeec Sweden AB,,,22336,12,,036379227,Jönköping,Jönköping,Jönköping,556 52,Olle Wallentin Gustafsson,Ledamot
Maléns Kylservice AB,,,9664,4,,,Halland,Varberg,Varberg,432 46,Jesper Willny Hjalmarsson,Ordförande
Malmberg Energy AB,,,187047,65,,044231833,Skåne,Kristianstad,Yngsjö,296 72,Per Johan Gunnar Wahlström,Extern verkställande direktör
Malmö Fastighetsteknik & Konsult AB,,,4160,2,,,Skåne,Burlöv,Arlöv,232 91,Mikael Bo Jesper Måhlgren,Verkställande direktör
Malte Månson Verkstäder AB,,,355126,163,,019274000,Stockholm,Stockholm,Spånga,163 53,Staffan Erik Lindewald,Verkställande direktör
Marklunds Service AB,,,38269,16,,063778250,Jämtland,Östersund,Östersund,831 72,Lars Peter Eriksson,Verkställande direktör
Martinssons VVS AB,,,4024,1,,,Jämtland,Bräcke,Bräcke,843 92,Ulf Peter Martinsson,Ledamot
Maskintjänst Kyl i Vimmerby AB,,,11058,4,,0705140002,Kalmar,Vimmerby,Vimmerby,598 37,Karl Niclas Andersson,Ledamot
Mats Moberg VVS Service AB,,,4136,2,,,Uppsala,Älvkarleby,Skutskär,814 31,Mats Moberg,Verkställande direktör
Maximum Y2 AB,,,4189,1-4,,,Stockholm,Stockholm,Spånga,163 53,Yusuf Iblikci,Ledamot
MegaWatt Solutions Nordic AB,,,1122,1,,,Stockholm,Stockholm,Stockholm,113 56,Ulf Peter Jonströmer,Verkställande direktör
Mellansvensk Kyl och Vitvaruservice AB,,,4586,3,,,Västmanland,Västerås,Västerås,721 33,Johan Patrick Högback,Ledamot
Menair AB,,,25468,8,Info@menair.se,040 453380,Skåne,Vellinge,Vellinge,235 39,Bengt Åke Torgander,Verkställande direktör
Menerga AB,,,46299,15,,016514880,Södermanland,Eskilstuna,Eskilstuna,633 46,Kent Egil Granberg,Extern verkställande direktör
MH Rörteknik AB,,,12426,3,,022540120,Dalarna,Säter,Stora Skedvi,783 93,Lars Markus Hällbo,Ledamot
Midroc Electro AB,,,,0,,,Gävleborg,Sandviken,,,,
Mjörns Kylteknik,,,0,0,,,Västra Götaland,Partille,,,Björn Johan Ahlström,Ordförande
MK Contracting AB,,,20404,24,,0854020641,Stockholm,Österåker,Åkersberga,184 32,Hans Mikael Forstén,Ordförande
MKF Kyla & Värme AB,,,1578,1,,,Stockholm,Järfälla,Järfälla,175 66,Johan E R Marcus Karlson Fredlund,Ledamot
MKS Service,,,,,,,,,,,,
Molle Energi AB,,,8694,3,,,Gävleborg,Bollnäs,Bollnäs,821 91,Folke Anders Eriksson,Verkställande direktör
Mondi Dynäs AB,,,2785966,377,,0612-83000,,,Väja,97350,Kurt Magnus Kangas,Extern verkställande direktör
Morkarlby Elektromekaniska AB,,,,,,,,,,,,
Månsson Rör & Värmepumpar AB,,,38817,15,,,Östergötland,Norrköping,Norrköping,603 61,Mats Hans Karl Nordén,Verkställande direktör
Månsson Rör & Värmepumpar i Östergötland AB,,,143347,60,,011318880,Östergötland,Norrköping,Norrköping,603 61,Mats Hans Karl Nordén,Verkställande direktör
Månsson Rör & Värmepumpar i ÖstergötlandAB,,,143347,60,,011318880,Östergötland,Norrköping,Norrköping,603 61,Mats Hans Karl Nordén,Verkställande direktör
Mählqvist Rör AB,,,94327,44,,0151518150,Södermanland,Vingåker,Vingåker,643 30,Hans Martin Olov Nilsson,Verkställande direktör
Mälardalens Värmepumpcenter AB,,,107921,32,,,Södermanland,Eskilstuna,Eskilstuna,632 21,Per Tomas Björnsson,Ordförande
